nation,web_scraper_order,web_scraper_start_url,name,team_contract,best_position,club_position,team_contract2,birth_year,acceleration_type,total_stats,data,height,weight,joined,value,wage,release_clause,body_type,total_attacking,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,base_stats,name2,name3,name4,name5,playstyles,playstyles2,playstyles3,playstyles4,playstyles5,age,overall_rating,potential,best_overall,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,image,playstyles_+,growth,agility,heading_accuracy2,reactions,balance,shot_power,jumping,phone,foot,loan_date_end,attacking_work_rate,defensive_work_rate,real_face,team_contract4,weak_foot,skill_moves,international_reputation,image2,team_contract3,overall_rating2,short_passing2,dribbling2,ball_control2,sprint_speed2,penalties,stamina,strength,long_shots,aggression,name7,name6,name8,interceptions,attack_position
japan,1771708259-11,https://sofifa.com/squad/2418304,T. Minamino,AS Monaco,,,2022 ~ 2027,1995,Explosive,1984,226627.0,"172cm 5'8""",67kg 148lbs,"Jul 1, 2022",€13.5M,€35K,€25.7M,Normal (170-185),353,373,408,345.0,341.0,106,58.0,411,,LM,,,One club player,,,,,30,78.0,78.0,78.0,73.0,76.0,53.0,79.0,72.0,81.0,76.0,69.0,67.0,80.0,84.0,71.0,https://cdn.sofifa.net/players/226/627/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-12,https://sofifa.com/squad/2418304,L. Kokubo,Sint-Truidense VV,GK,,2024 ~ 2026,2001,Controlled,1115,71641.0,"193cm 6'4""",86kg 190lbs,"Jul 11, 2024",€3.9M,€6K,€6.6M,Lean (185+),88,103,247,180.0,110.0,37,350.0,391,,GK,,,,,,,,24,73.0,79.0,73.0,21.0,11.0,11.0,35.0,10.0,20.0,17.0,10.0,34.0,22.0,45.0,35.0,https://cdn.sofifa.net/players/071/641/26_180.png,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-13,https://sofifa.com/squad/2418304,S. Maikuma,AZ Alkmaar,,SUB,2024 ~ 2028,1997,Controlled explosive,1942,266071.0,"178cm 5'10""",68kg 150lbs,"Jul 1, 2024",€4.1M,€16K,€6.2M,Normal (170-185),312,313,377,358.0,315.0,214,53.0,416,RB,RB,,,,,,,,27,74.0,74.0,74.0,72.0,58.0,55.0,72.0,55.0,69.0,67.0,44.0,62.0,71.0,77.0,70.0,https://cdn.sofifa.net/players/266/071/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-14,https://sofifa.com/squad/2418304,K. Itakura,Ajax,,,2025 ~ 2029,1997,Controlled lengthy,1915,233152.0,"188cm 6'2""",80kg 176lbs,"Aug 8, 2025",€7M,€18K,€10.3M,Lean (185+),303,303,364,360.0,303.0,232,50.0,421,,CB,CDM,,Slide tackle,,,,,28,76.0,77.0,77.0,34.0,60.0,73.0,78.0,58.0,75.0,41.0,40.0,73.0,74.0,77.0,74.0,https://cdn.sofifa.net/players/233/152/26_180.png,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-15,https://sofifa.com/squad/2418304,K. Machida,TSG 1899 Hoffenheim,,,2025 ~ 2028,1997,Controlled lengthy,1705,232873.0,"190cm 6'3""",80kg 176lbs,"Jul 1, 2025",€7M,€31K,€11.9M,Lean (185+),251,237,315,353.0,282.0,221,46.0,391,,CB,,,Intercept,Aerial fortress,,,,27,76.0,76.0,76.0,47.0,34.0,76.0,73.0,21.0,48.0,29.0,25.0,67.0,68.0,72.0,83.0,https://cdn.sofifa.net/players/232/873/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-16,https://sofifa.com/squad/2418304,H. Matsuda,Hannover 96,,,2025 ~ 2028,2003,Explosive,1622,72674.0,"173cm 5'8""",70kg 154lbs,"Jul 1, 2025",€2.3M,€8K,€4.1M,Lean (170-185),235,253,404,233.0,274.0,173,50.0,360,RB,RM,,,,,,,,21,67.0,77.0,68.0,65.0,43.0,43.0,63.0,21.0,68.0,46.0,23.0,53.0,63.0,84.0,87.0,https://cdn.sofifa.net/players/072/674/26_180.png,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-17,https://sofifa.com/squad/2418304,W. Endo,Liverpool,,,2023 ~ 2027,1993,Controlled,2013,232487.0,"178cm 5'10""",77kg 170lbs,"Aug 18, 2023",€11.5M,€95K,€21.3M,Normal (170-185),319,326,348,378.0,365.0,232,45.0,426,,CDM,CDM,,Relentless,Injury prone,,,,32,79.0,79.0,79.0,58.0,67.0,79.0,79.0,36.0,76.0,45.0,49.0,78.0,78.0,66.0,52.0,https://cdn.sofifa.net/players/232/487/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-18,https://sofifa.com/squad/2418304,R. Hatate,Celtic,,,2022 ~ 2028,1997,Controlled explosive,2078,255742.0,"172cm 5'8""",70kg 154lbs,"Jan 1, 2022",€8M,€49K,€13.6M,Normal (170-185),350,364,394,373.0,364.0,195,38.0,432,,CM,,,Low driven shot,Incisive pass,Pinged pass,Inventive,Technical,27,76.0,76.0,77.0,66.0,70.0,56.0,78.0,80.0,74.0,70.0,64.0,77.0,79.0,77.0,65.0,https://cdn.sofifa.net/players/255/742/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-19,https://sofifa.com/squad/2418304,A. Tanaka,Leeds United,,SUB,2024 ~ 2028,1998,Controlled explosive,2044,236764.0,"180cm 5'11""",69kg 152lbs,"Aug 30, 2024",€9M,€49K,€17.8M,Lean (170-185),326,361,375,366.0,341.0,221,54.0,431,,CDM,CDM,,Press proven,,,,,26,76.0,79.0,77.0,61.0,66.0,60.0,78.0,61.0,75.0,70.0,65.0,74.0,77.0,72.0,69.0,https://cdn.sofifa.net/players/236/764/26_180.png,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-20,https://sofifa.com/squad/2418304,T. Kubo,Real Sociedad,,,2022 ~ 2029,2001,Explosive,2026,237681.0,"173cm 5'8""",64kg 141lbs,"Jul 19, 2022",€37M,€42K,€80.5M,Lean (170-185),348,390,419,357.0,317.0,147,48.0,430,,RM,,,Low driven shot,Gamechanger,Whipped pass,Inventive,Technical,24,81.0,85.0,83.0,78.0,77.0,49.0,77.0,67.0,85.0,77.0,74.0,70.0,84.0,87.0,84.0,https://cdn.sofifa.net/players/237/681/26_180.png,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-21,https://sofifa.com/squad/2418304,A. Ueda,Feyenoord,,,2023 ~ 2028,1998,Controlled,1919,252162.0,"183cm 6'0""",76kg 168lbs,"Aug 3, 2023",€17M,€20K,€25.1M,Normal (170-185),363,326,380,402.0,322.0,72,54.0,396,,ST,,,,,,,,26,78.0,79.0,79.0,47.0,82.0,84.0,72.0,78.0,71.0,65.0,64.0,50.0,76.0,75.0,74.0,https://cdn.sofifa.net/players/252/162/26_180.png,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-22,https://sofifa.com/squad/2418304,K. Mitoma,Brighton & Hove Albion,,,2021 ~ 2027,1997,Mostly explosive,2057,255565.0,"178cm 5'10""",74kg 163lbs,"Aug 10, 2021",€30.5M,€115K,€58M,Lean (170-185),357,378,415,343.0,337.0,171,56.0,441,,LM,,,Technical,First touch,Quick step,,,28,82.0,82.0,82.0,77.0,79.0,52.0,80.0,69.0,87.0,76.0,62.0,65.0,88.0,86.0,84.0,https://cdn.sofifa.net/players/255/565/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-23,https://sofifa.com/squad/2418304,Y. Takaoka,Vancouver Whitecaps FC,GK,,2023 ~ 2026,1996,Controlled,1038,244656.0,"181cm 5'11""",72kg 159lbs,"Feb 17, 2023",€1.3M,€4K,€2M,Normal (170-185),68,75,218,196.0,90.0,44,347.0,385,,GK,,,Cross claimer,,,,,29,71.0,71.0,71.0,13.0,9.0,14.0,25.0,7.0,11.0,14.0,13.0,22.0,15.0,42.0,33.0,https://cdn.sofifa.net/players/244/656/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-24,https://sofifa.com/squad/2418304,K. Sano,NEC Nijmegen,,,2023 ~ 2028,2003,Controlled explosive,1961,277809.0,"176cm 5'9""",68kg 150lbs,"Aug 17, 2023",€12M,€8K,€20.4M,Lean (170-185),305,354,372,334.0,333.0,204,59.0,412,,CDM,CDM,,Press proven,,,,,21,75.0,84.0,77.0,67.0,60.0,50.0,78.0,50.0,72.0,69.0,58.0,77.0,78.0,79.0,58.0,https://cdn.sofifa.net/players/277/809/26_180.png,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-25,https://sofifa.com/squad/2418304,D. Maeda,Celtic,,,2022 ~ 2027,1997,Explosive,2153,246321.0,"173cm 5'8""",68kg 150lbs,"Jun 7, 2022",€15M,€59K,€25.5M,Lean (170-185),371,332,450,401.0,371.0,188,40.0,458,,LW,,,Acrobatic,Gamechanger,Rapid,Quick step,Injury prone,27,78.0,78.0,79.0,69.0,79.0,74.0,74.0,75.0,73.0,74.0,57.0,57.0,71.0,94.0,91.0,https://cdn.sofifa.net/players/246/321/26_180.png,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japan,1771708259-26,https://sofifa.com/squad/2418304,K. Nakamura,Stade de Reims,,,2023 ~ 2028,2000,Controlled explosive,1947,242914.0,"180cm 5'11""",75kg 165lbs,"Aug 10, 2023",€10M,€9K,€18.8M,Lean (170-185),335,372,379,389.0,308.0,114,50.0,416,,LM,,,Gamechanger,Technical,First touch,,,24,76.0,79.0,77.0,68.0,73.0,52.0,73.0,69.0,77.0,80.0,70.0,66.0,79.0,83.0,76.0,https://cdn.sofifa.net/players/242/914/26_180.png,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,1771708369-1,https://sofifa.com/squad/2394623,26 Y. Abulaila,Al Hussein,GK,RES,2000 ~ 2050,1993,,1085,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,67,77,282,180.0,125.0,45,309.0,362,GK,,,,,,,,,32,,64.0,64.0,13.0,12.0,13.0,18.0,11.0,18.0,12.0,11.0,17.0,19.0,53.0,52.0,https://s3p.sofifa.net/5795680ed5420aef385ebc33b08db67bb99d3839.png,,,60.0,,67.0,50.0,11.0,62.0,15978605.0,,,,,,,,,,,,64.0,,,,,,30.0,64.0,13.0,31.0,,,,,
jordan,1771708369-2,https://sofifa.com/squad/2394623,26 E. Haddad,Al Hussein,,RES,2000 ~ 2050,1994,,1663,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,246,256,328,312.0,289.0,173,59.0,362,RB,,,,,,,,,31,,58.0,62.0,46.0,52.0,46.0,63.0,39.0,64.0,37.0,34.0,59.0,62.0,72.0,62.0,https://s3p.sofifa.net/e9341ef69e20b61d5974bd8f504234bff3923d97.png,,,59.0,,59.0,76.0,53.0,75.0,15978643.0,,,,,,,,,,,,58.0,,,,,,69.0,66.0,49.0,63.0,,,,,
jordan,1771708369-3,https://sofifa.com/squad/2394623,26 A. Nasib,Al Zawra'a,,RES,2000 ~ 2050,1994,,1392,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,194,159,271,299.0,215.0,204,50.0,298,CB,,,,,,,,,31,,67.0,67.0,30.0,30.0,60.0,54.0,20.0,31.0,22.0,23.0,41.0,42.0,53.0,43.0,https://s3p.sofifa.net/02b7681c70662c821fac305056552838f507acf9.png,,,50.0,,59.0,66.0,50.0,76.0,15978622.0,,,,,,,,,,,,67.0,,,,,,67.0,80.0,26.0,51.0,,,,,
jordan,1771708369-4,https://sofifa.com/squad/2394623,Y. Al Arab,FC Seoul,,,2024 ~ 2028,1996,,1616,,"188cm 6'2""",87kg 192lbs,"Jul 16, 2024",€4.7M,€10K,,,216,214,359,306.0,249.0,222,50.0,362,CB,,,,,,,,,29,,75.0,75.0,26.0,29.0,71.0,62.0,28.0,34.0,29.0,31.0,55.0,65.0,70.0,87.0,https://cdn.sofifa.net/players/073/466/26_180.png,,,70.0,,70.0,62.0,34.0,87.0,73466.0,,,,,,,,,,,,75.0,,,,,,72.0,91.0,22.0,74.0,,,,,
jordan,1771708369-5,https://sofifa.com/squad/2394623,26 M. Abu Taha,Al Orobah FC,,,2025 ~ 2025,2003,,1720,,"177cm 5'10""",76kg 168lbs,"Jan 31, 2025",€1.5M,€6K,,,293,280,349,331.0,260.0,149,58.0,373,LM,LB,,,,,,,,22,1.0,72.0,65.0,57.0,62.0,58.0,61.0,55.0,65.0,53.0,42.0,57.0,63.0,77.0,77.0,https://s3p.sofifa.net/7b175be9a07659ae64b478b754130477a004501b.png,,,71.0,,55.0,69.0,65.0,72.0,15984766.0,,,,,,,,,,,,65.0,,,,,,65.0,62.0,67.0,50.0,,,,,
jordan,1771708369-6,https://sofifa.com/squad/2394623,26 A. Jamous,Al Zawra'a,,RES,2000 ~ 2050,2002,,1869,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,278,325,356,338.0,333.0,178,61.0,387,CM,,,,,,,,,22,,67.0,67.0,68.0,49.0,47.0,66.0,48.0,64.0,67.0,63.0,65.0,66.0,67.0,75.0,https://s3p.sofifa.net/26754fb65394564bd8bac5b109095da460ec0005.png,,,74.0,,65.0,75.0,64.0,71.0,15978667.0,,,,,,,,,,,,67.0,,,,,,86.0,59.0,58.0,75.0,,,,,
jordan,1771708369-7,https://sofifa.com/squad/2394623,26 N. Al-Rashdan,Qatar SC,,RES,2000 ~ 2050,1999,,1677,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,266,287,298,298.0,277.0,200,51.0,356,CDM,,,,,,,,,26,,68.0,68.0,54.0,41.0,68.0,70.0,33.0,54.0,43.0,54.0,67.0,69.0,58.0,60.0,https://s3p.sofifa.net/9d6d9838f0dcea8d2d010c36ecceff918d748d2e.png,,,63.0,,58.0,59.0,61.0,56.0,15978657.0,,,,,,,,,,,,68.0,,,,,,67.0,62.0,52.0,72.0,,,,,
jordan,1771708369-8,https://sofifa.com/squad/2394623,26 T. Bany,West Bromwich Albion,,,2025 ~ 2028,2003,,1572,,"181cm 5'11""",74kg 163lbs,"Feb 3, 2025",€1.5M,€8K,,,281,278,328,309.0,257.0,58,61.0,337,ST,,,,,,,,,21,1.0,72.0,66.0,36.0,65.0,60.0,66.0,54.0,65.0,50.0,38.0,59.0,66.0,68.0,70.0,https://cdn.sofifa.net/players/070/860/26_180.png,,,64.0,,60.0,66.0,65.0,67.0,15974650.0,,,,,,,,,,,,65.0,,,,,,55.0,63.0,59.0,58.0,,,,,
jordan,1771708369-9,https://sofifa.com/squad/2394623,M. Al Tamari,Stade Rennais FC,,,2025 ~ 2028,1997,,1970,,"178cm 5'10""",75kg 165lbs,"Feb 3, 2025",€5.5M,€25K,,,312,346,430,336.0,336.0,167,43.0,427,LM,LB,,,,,,,,28,2.0,75.0,76.0,68.0,71.0,39.0,69.0,65.0,80.0,74.0,58.0,58.0,76.0,88.0,90.0,https://cdn.sofifa.net/players/259/191/26_180.png,,,93.0,,71.0,88.0,68.0,66.0,259191.0,,,,,,,,,,,,75.0,,,,,,71.0,63.0,68.0,66.0,,,,,
jordan,1771708369-10,https://sofifa.com/squad/2394623,26 Y. Al-Naimat,Al Arabi,,RES,2000 ~ 2050,1999,,904,,"180cm 5'11""",80kg 176lbs,"Dec 12, 2000",€0,€0,,,273,139,206,206.0,72.0,3,5.0,255,ST,,,,,,,,,26,,70.0,70.0,1.0,68.0,68.0,68.0,68.0,68.0,1.0,1.0,1.0,68.0,68.0,68.0,https://s3p.sofifa.net/bf8ff0797b4d41f51620a365bbc49976cda632b9.png,,,1.0,,68.0,1.0,68.0,1.0,15978689.0,,,,,,,,,,,,70.0,,,,,,1.0,68.0,68.0,1.0,,,,,
jordan,1771708369-11,https://sofifa.com/squad/2394623,26 A. Ersan,Al Faysali,,RES,2000 ~ 2050,1995,,1609,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,270,302,367,290.0,219.0,109,52.0,354,LW,,,,,,,,,29,,65.0,65.0,66.0,59.0,33.0,63.0,49.0,65.0,45.0,66.0,60.0,66.0,79.0,79.0,https://s3p.sofifa.net/18526d9f2494f808b23c3664e92dcfb4b4993dd3.png,,,83.0,,53.0,73.0,61.0,39.0,15978692.0,,,,,,,,,,,,65.0,,,,,,70.0,61.0,59.0,30.0,,,,,
jordan,1771708369-12,https://sofifa.com/squad/2394623,26 R. Bani Hani,Al Hussein,GK,RES,2000 ~ 2050,2002,,1117,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,98,108,244,200.0,123.0,50,294.0,345,GK,,,,,,,,,23,,59.0,59.0,19.0,13.0,18.0,31.0,17.0,19.0,19.0,13.0,34.0,23.0,53.0,49.0,https://s3p.sofifa.net/4ce2baff1d0bb23f2faca6b5f56a187eb9480ed9.png,,,34.0,,52.0,56.0,44.0,55.0,15979039.0,,,,,,,,,,,,59.0,,,,,,42.0,44.0,15.0,29.0,,,,,
jordan,1771708369-13,https://sofifa.com/squad/2394623,26 M. Abualnadi,Selangor,,RES,2000 ~ 2050,2001,,1474,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,209,229,323,257.0,241.0,161,54.0,324,CB,,,,,,,,,24,,58.0,58.0,53.0,22.0,48.0,59.0,27.0,52.0,38.0,33.0,53.0,53.0,69.0,68.0,https://s3p.sofifa.net/b4da8c9ce23b26c1613f1b9fe8fa6452809ac605.png,,,66.0,,54.0,66.0,29.0,58.0,15978633.0,,,,,,,,,,,,58.0,,,,,,63.0,79.0,28.0,48.0,,,,,
jordan,1771708369-14,https://sofifa.com/squad/2394623,26 H. Maher,East Bengal FC,,,2023 ~ 2026,1997,,1230,,"188cm 6'2""",73kg 161lbs,"Sep 28, 2023",€230K,€700,,,177,136,239,245.0,188.0,197,48.0,269,CB,,,,,,,,,27,,60.0,60.0,21.0,24.0,52.0,53.0,27.0,26.0,26.0,21.0,30.0,33.0,35.0,55.0,https://s3p.sofifa.net/ee88df258add6edb7c0e160a7a10daab3d78bf85.png,,,48.0,,51.0,50.0,31.0,56.0,15984770.0,,,,,,,,,,,,60.0,,,,,,60.0,72.0,26.0,44.0,,,,,
jordan,1771708369-15,https://sofifa.com/squad/2394623,26 M. Abu Hasheesh,,,RES,Free,1995,,1897,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,310,360,374,347.0,318.0,124,64.0,396,LB,LB,,,,,,,,30,,60.0,72.0,72.0,68.0,53.0,67.0,50.0,70.0,73.0,78.0,65.0,74.0,78.0,76.0,https://s3p.sofifa.net/47fe9f8013619f1d2a38aa02a8f203e275c8e5a5.png,,,81.0,,70.0,69.0,86.0,55.0,15978636.0,,,,,,,,,,,,60.0,,,,,,67.0,63.0,76.0,66.0,,,,,
jordan,1771708369-16,https://sofifa.com/squad/2394623,26 I. Saadeh,,,RES,Free,2000,,1799,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,317,271,360,366.0,306.0,112,67.0,381,CM,,,,,,,,,25,,60.0,69.0,49.0,72.0,74.0,56.0,66.0,63.0,49.0,43.0,52.0,64.0,74.0,77.0,https://s3p.sofifa.net/49b55151443a02ca5c6b632ad538a70649e48559.png,,,70.0,,65.0,74.0,68.0,90.0,15978661.0,,,,,,,,,,,,60.0,,,,,,71.0,75.0,62.0,79.0,,,,,
jordan,1771708369-17,https://sofifa.com/squad/2394623,26 R. Ayed,Al Hussein,,RES,2000 ~ 2050,1993,,1671,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,309,305,336,312.0,245.0,105,59.0,354,CM,,,,,,,,,31,,61.0,63.0,65.0,61.0,60.0,65.0,58.0,65.0,59.0,55.0,63.0,63.0,70.0,69.0,https://s3p.sofifa.net/e9df7a7f9a879141393758c4cf8bd50b26c0d50f.png,,,77.0,,45.0,75.0,64.0,65.0,15978675.0,,,,,,,,,,,,61.0,,,,,,59.0,69.0,55.0,25.0,,,,,
jordan,1771708369-18,https://sofifa.com/squad/2394623,26 N. Al-Rawabdeh,Selangor,,RES,2000 ~ 2050,1997,,1626,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,277,281,384,305.0,268.0,64,47.0,360,CM,,,,,,,,,28,,59.0,69.0,48.0,73.0,64.0,53.0,39.0,70.0,60.0,30.0,53.0,68.0,90.0,90.0,https://s3p.sofifa.net/d3150572704f26d132cd47204cd78783568a7050.png,,,71.0,,66.0,67.0,67.0,76.0,15978681.0,,,,,,,,,,,,59.0,,,,,,62.0,58.0,42.0,46.0,,,,,
jordan,1771708369-19,https://sofifa.com/squad/2394623,I. Sabra,Göztepe SK,,,2025 ~ 2029,2006,,1538,,"184cm 6'0""",77kg 170lbs,"Jul 1, 2025",€1.3M,€3K,,,272,227,378,320.0,218.0,57,66.0,333,ST,,,,,,,,,19,,80.0,65.0,32.0,63.0,65.0,45.0,67.0,61.0,39.0,34.0,35.0,58.0,90.0,92.0,https://cdn.sofifa.net/players/080/641/26_180.png,,,77.0,,61.0,58.0,62.0,80.0,80641.0,,,,,,,,,,,,63.0,,,,,,61.0,62.0,55.0,30.0,,,,,
jordan,1771708369-20,https://sofifa.com/squad/2394623,26 M. Al-Mardi,Al Hussein,,RES,2000 ~ 2050,1993,,1531,,"180cm 5'11""",80kg 176lbs,"Dec 1, 2000",€0,€0,,,261,292,343,278.0,225.0,78,54.0,324,LW,,,,,,,,,31,,59.0,59.0,59.0,55.0,38.0,57.0,52.0,57.0,65.0,64.0,51.0,55.0,72.0,77.0,https://s3p.sofifa.net/ddbc0fbde43085724043ab2e0d6aa6c9515e1c48.png,,,73.0,,59.0,62.0,68.0,42.0,15979033.0,,,,,,,,,,,,59.0,,,,,,58.0,50.0,60.0,42.0,,,,,
jordan,1771708369-21,https://sofifa.com/squad/2394623,26 M. Al-Emwase,Al Salt,GK,RES,2000 ~ 2050,1996,,369,,"180cm 5'11""",80kg 176lbs,"Dec 12, 2000",€0,€0,,,5,5,61,5.0,5.0,3,285.0,286,GK,,,,,,,,,28,,58.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://s3p.sofifa.net/9f881a27c5829637aadeb56698194a151edc98c4.png,,,1.0,,57.0,1.0,1.0,1.0,15978614.0,,,,,,,,,,,,58.0,,,,,,1.0,1.0,1.0,1.0,,,,,
mexico,1771705284-1,https://sofifa.com/squad/2417398,R. Rangel,Free,GK,,,2000,Controlled,1175,73325.0,"191cm 6'3""",81kg 179lbs,"May 27, 2025",€0,€0,€0,Normal (185+),99,125,184,225.0,112.0,52,378.0,410,,GK,,,,,,,,25,76.0,80.0,76.0,22.0,6.0,15.0,48.0,8.0,11.0,25.0,14.0,38.0,37.0,32.0,31.0,https://cdn.sofifa.net/players/073/325/26_180.png,,4.0,31.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,1771705284-2,https://sofifa.com/squad/2417398,J. Sánchez,2026 ~ 2027,RB,SUB,PAOK,1997,Controlled explosive,1918,233493.0,"175cm 5'9""",71kg 157lbs,"Feb 12, 2026",€2.9M,€22K,€6.4M,Normal (170-185),276,305,404,354.0,321.0,207,51.0,415,,RB,,,Anticipate,Long throw,,,,27,73.0,73.0,73.0,62.0,44.0,64.0,66.0,40.0,70.0,65.0,40.0,62.0,68.0,84.0,84.0,https://cdn.sofifa.net/players/233/493/26_180.png,,0.0,82.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,1771705284-3,https://sofifa.com/squad/2417398,C. Montes,Free,CB,,,1997,Controlled lengthy,1791,229980.0,"191cm 6'3""",84kg 185lbs,"Sep 12, 2024",€0,€0,€0,Normal (185+),268,293,312,332.0,320.0,224,42.0,381,,CB,CB,,Precision header,Aerial fortress,Bruiser,,,28,75.0,76.0,76.0,41.0,48.0,78.0,68.0,33.0,60.0,62.0,35.0,69.0,67.0,62.0,53.0,https://cdn.sofifa.net/players/229/980/26_180.png,,1.0,74.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,1771705284-4,https://sofifa.com/squad/2417398,J. Vásquez,2022 ~ 2028,CB,,Genoa,1998,Controlled lengthy,1695,244349.0,"185cm 6'1""",72kg 159lbs,"Jan 3, 2022",€6.5M,€21K,€12.2M,Lean (185+),264,261,312,286.0,294.0,228,50.0,363,,CB,CB,,Block,Intercept,Aerial fortress,,,26,75.0,78.0,77.0,62.0,32.0,76.0,65.0,29.0,53.0,40.0,40.0,60.0,68.0,59.0,62.0,https://cdn.sofifa.net/players/244/349/26_180.png,,3.0,51.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,1771705284-5,https://sofifa.com/squad/2417398,J. Gallardo,Free,LB,,,1994,Controlled explosive,2032,226045.0,"176cm 5'9""",73kg 161lbs,"Jul 1, 2024",€0,€0,€0,Normal (170-185),334,338,385,376.0,337.0,215,47.0,442,LM,LB,,,Rapid,,,,,30,76.0,76.0,76.0,76.0,69.0,66.0,74.0,49.0,75.0,73.0,47.0,67.0,76.0,84.0,82.0,https://cdn.sofifa.net/players/226/045/26_180.png,,0.0,78.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,1771705284-6,https://sofifa.com/squad/2417398,E. Álvarez,"Jun 30, 2026 On loan",CB,SUB,Fenerbahçe SK,1997,Controlled lengthy,1969,235844.0,"187cm 6'2""",80kg 176lbs,"Aug 10, 2023",€14.5M,€61K,€0,Normal (185+),342,304,335,356.0,357.0,234,41.0,425,,CDM,CB,,Block,Anticipate,Slide tackle,,,27,78.0,79.0,80.0,64.0,57.0,82.0,76.0,63.0,72.0,42.0,40.0,75.0,75.0,67.0,65.0,https://cdn.sofifa.net/players/235/844/26_180.png,,1.0,63.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,1771705284-7,https://sofifa.com/squad/2417398,O. Pineda,2023 ~ 2027,CAM,,AEK Athens,1996,Explosive,2137,224574.0,"170cm 5'7""",65kg 143lbs,"Jul 1, 2023",€10.5M,€31K,€22.1M,Normal (170-),357,359,419,367.0,369.0,210,56.0,447,,CAM,,,Technical,Relentless,One club player,,,29,77.0,77.0,77.0,73.0,73.0,68.0,73.0,70.0,81.0,70.0,56.0,72.0,80.0,82.0,81.0,https://cdn.sofifa.net/players/224/574/26_180.png,,0.0,88.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,1771705284-8,https://sofifa.com/squad/2417398,M. Ruiz,Free,CM,,,2000,Controlled explosive,2027,244973.0,"182cm 6'0""",69kg 152lbs,"Jul 1, 2022",€0,€0,€0,Lean (170-185),330,373,375,360.0,345.0,195,49.0,426,,CM,,,Long ball pass,,,,,24,77.0,82.0,79.0,68.0,61.0,60.0,81.0,60.0,74.0,72.0,68.0,79.0,80.0,74.0,74.0,https://cdn.sofifa.net/players/244/973/26_180.png,,5.0,81.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
